,Age_AtReg,Disability,Gender,CitizenStatus,EducationLevel,Race_Hispanic,Race_NativeAmerican,Race_Asian,Race_AfricanAmerican,Race_PacificIslander,Race_White,Employed
119,38,0,1,1,10,0,0,0,1,0,0,0
120,55,0,1,1,0,0,0,0,1,0,0,1
121,55,0,1,1,0,0,0,0,1,0,0,0
122,37,0,1,1,0,0,0,0,1,0,0,0
123,37,0,1,1,0,0,0,0,1,0,0,0
124,43,0,1,1,13,0,0,0,1,0,0,1
125,47,0,1,1,14,0,0,0,1,0,0,0
126,47,0,1,1,14,0,0,0,1,0,0,0
127,47,0,1,1,14,0,0,0,1,0,0,0
128,47,0,1,1,14,0,0,0,1,0,0,0
129,47,0,1,1,14,0,0,0,1,0,0,0
130,45,0,1,1,16,0,0,0,1,0,0,0
131,34,0,1,1,14,0,0,0,1,0,0,0
132,56,0,1,1,14,0,0,0,1,0,0,0
133,53,0,1,1,9,0,0,0,0,0,0,0
134,38,0,2,1,14,0,0,0,1,0,0,0
135,42,0,2,1,14,0,0,0,1,0,0,1
136,45,0,1,1,14,0,0,0,1,0,0,0
137,45,0,1,1,14,0,0,0,1,0,0,1
138,45,0,1,1,14,0,0,0,1,0,0,1
139,45,0,1,1,14,0,0,0,1,0,0,1
140,43,0,1,1,14,0,0,0,0,0,0,1
141,43,0,1,1,14,0,0,0,1,0,0,0
142,48,0,1,1,14,0,0,0,1,0,0,0
143,48,0,1,1,14,0,0,0,1,0,0,0
144,47,0,1,1,14,0,0,0,1,0,0,0
145,32,0,2,1,15,0,0,0,1,0,0,0
146,64,0,2,1,20,0,0,0,0,0,0,0
147,64,0,2,1,20,0,0,0,0,0,0,0
148,64,0,2,1,20,0,0,0,0,0,0,0
149,64,0,2,1,20,0,0,0,0,0,0,0
150,58,0,2,1,14,0,0,0,1,0,0,0
151,50,0,1,1,14,0,0,0,1,0,0,0
152,43,1,2,1,16,0,0,0,1,0,0,0
153,43,1,2,1,16,0,0,0,1,0,0,0
154,52,0,1,1,0,0,0,0,0,0,0,0
155,52,0,1,1,0,0,0,0,0,0,0,0
156,47,0,1,1,14,0,0,0,1,0,0,0
157,41,0,1,1,15,0,0,0,1,0,0,1
158,41,0,1,1,15,0,0,0,1,0,0,1
159,34,0,1,1,14,0,0,0,0,0,0,0
160,34,0,1,1,14,0,0,0,0,0,0,0
161,34,0,1,1,14,0,0,0,0,0,0,0
162,35,0,1,1,14,0,0,0,0,0,0,0
163,29,0,1,1,14,0,0,0,1,0,0,0
164,52,1,1,1,16,0,0,0,1,0,0,0
165,52,1,1,1,16,0,0,0,1,0,0,0
166,53,0,1,1,11,0,0,0,0,0,0,0
167,49,0,1,1,14,0,0,0,1,0,0,0
168,51,0,1,1,18,0,0,0,1,0,0,0
169,45,0,2,1,14,0,0,0,1,0,0,0
170,18,0,1,4,14,0,0,0,1,0,0,0
171,43,0,1,1,7,0,0,0,1,0,0,1
172,43,0,1,1,7,0,0,0,1,0,0,1
173,64,0,2,1,20,0,0,0,1,0,0,0
